CustomerID,Cluster,Segment,Recency,Frequency,Monetary,Monetary_Normalized,Average_Transaction,Transaction_Frequency,Churn_Probability
13592,3,Potential Loyalists,229,16,247.96,-0.20218254221742657,15.4975,0.06986899563318777,1
13962,3,Potential Loyalists,224,11,169.55,-0.2116880764327094,15.413636363636364,0.049107142857142856,1
14295,3,Potential Loyalists,292,7,154.70000000000002,-0.21348832108386293,22.1,0.023972602739726026,1
15101,3,Potential Loyalists,351,9,310.03,-0.19465788326139286,34.44777777777777,0.02564102564102564,1
15393,3,Potential Loyalists,265,12,231.86,-0.20413432261362674,19.32166666666667,0.045283018867924525,1
16462,3,Potential Loyalists,219,4,102,-0.21987706809502738,25.5,0.0182648401826484,1
16500,3,Potential Loyalists,326,11,400.86,-0.18364668988332705,36.441818181818185,0.03374233128834356,1
16596,3,Potential Loyalists,351,12,250.15,-0.20191705159210493,20.845833333333335,0.03418803418803419,1
16835,3,Potential Loyalists,245,10,180.85,-0.2103181932974882,18.085,0.04081632653061224,1
16861,3,Potential Loyalists,309,8,151.65,-0.21385806830177662,18.95625,0.025889967637540454,1
17025,3,Potential Loyalists,313,9,357.77,-0.18887043008657328,39.75222222222222,0.02875399361022364,1
17339,3,Potential Loyalists,271,9,243.36,-0.20274019375919805,27.040000000000003,0.033210332103321034,1
17430,3,Potential Loyalists,333,14,265.76,-0.20002467320796305,18.982857142857142,0.042042042042042045,1
17572,3,Potential Loyalists,302,12,226.75000000000003,-0.20475380073937718,18.895833333333336,0.039735099337748346,1
17603,3,Potential Loyalists,217,15,-1165.3,-0.37351006785306745,-77.68666666666667,0.06912442396313365,1
17711,3,Potential Loyalists,279,23,385.1,-0.1855572525568745,16.743478260869566,0.08243727598566308,1
12990,3,Potential Loyalists,279,13,409.5,-0.18259927481356497,31.5,0.04659498207885305,0.998
13145,3,Potential Loyalists,333,7,614.77,-0.15771468090499333,87.82428571428571,0.021021021021021023,0.998
13579,3,Potential Loyalists,355,23,467.04,-0.17562378139758011,20.30608695652174,0.0647887323943662,0.998
13792,3,Potential Loyalists,221,13,195.55,-0.20853613293574022,15.042307692307693,0.058823529411764705,0.998
13899,3,Potential Loyalists,258,19,388.52,-0.18514265075842704,20.448421052631577,0.07364341085271318,0.998
14460,3,Potential Loyalists,200,17,383.34,-0.18577061488590013,22.54941176470588,0.085,0.998
14520,3,Potential Loyalists,289,4,270.6,-0.19943792680314262,67.65,0.01384083044982699,0.998
14737,3,Potential Loyalists,350,17,1164.55,-0.09106562337561964,68.50294117647059,0.04857142857142857,0.998
14761,3,Potential Loyalists,276,11,255.9,-0.2012199871648906,23.263636363636365,0.03985507246376811,0.998
14784,3,Potential Loyalists,297,15,289.99,-0.19708730432597985,19.332666666666668,0.050505050505050504,0.998
15206,3,Potential Loyalists,265,9,420.29999999999995,-0.1812900059763624,46.699999999999996,0.033962264150943396,0.998
15689,3,Potential Loyalists,242,9,254.1,-0.2014381986377577,28.233333333333334,0.0371900826446281,0.998
15781,3,Potential Loyalists,280,21,333.56,-0.19180537439663575,15.883809523809523,0.075,0.998
15885,3,Potential Loyalists,217,18,379.35,-0.18625431698408884,21.075000000000003,0.08294930875576037,0.998
16080,3,Potential Loyalists,193,11,176.6,-0.2108334148306466,16.054545454545455,0.05699481865284974,0.998
16112,3,Potential Loyalists,195,16,195.74,-0.20851309950249314,12.23375,0.08205128205128205,0.998
16519,3,Potential Loyalists,340,13,215.07999999999998,-0.20616853845513222,16.544615384615383,0.03823529411764706,0.998
16620,3,Potential Loyalists,257,9,178.96,-0.21054731534399862,19.884444444444444,0.03501945525291829,0.998
16778,3,Potential Loyalists,200,16,245.94,-0.20242742398142186,15.37125,0.08,0.998
17044,3,Potential Loyalists,351,10,897.4300000000001,-0.12344820594909683,89.74300000000001,0.02849002849002849,0.998
17436,3,Potential Loyalists,225,9,216.29999999999998,-0.20602063956796673,24.03333333333333,0.04,0.998
17830,3,Potential Loyalists,287,23,398.7,-0.18390854365076756,17.33478260869565,0.08013937282229965,0.998
13104,3,Potential Loyalists,351,20,1098.48,-0.09907519671580248,54.924,0.05698005698005698,0.996
13329,3,Potential Loyalists,335,19,740.4,-0.14248473238483034,38.96842105263158,0.056716417910447764,0.996
13666,3,Potential Loyalists,227,12,84.65,-0.22198038423627411,7.054166666666667,0.05286343612334802,0.996
13817,3,Potential Loyalists,322,24,382.98,-0.18581425718047354,15.957500000000001,0.07453416149068323,0.996
13984,3,Potential Loyalists,340,17,488.03,-0.17307919316675768,28.70764705882353,0.05,0.996
14448,3,Potential Loyalists,355,20,375.35,-0.18673923136823795,18.767500000000002,0.056338028169014086,0.996
14618,3,Potential Loyalists,357,17,538.59,-0.16694987535111303,31.681764705882355,0.047619047619047616,0.996
14798,3,Potential Loyalists,258,12,173.74,-0.2111801286153132,14.478333333333333,0.046511627906976744,0.996
14987,3,Potential Loyalists,350,4,326.4,-0.19267337114426264,81.6,0.011428571428571429,0.996
15664,3,Potential Loyalists,309,19,358.63,-0.18876617349398123,18.875263157894736,0.061488673139158574,0.996
16414,3,Potential Loyalists,259,7,126.25,-0.21693727464112345,18.035714285714285,0.02702702702702703,0.996
16454,3,Potential Loyalists,196,3,-8.15,-0.23323039794853337,-2.716666666666667,0.015306122448979591,0.996
16668,3,Potential Loyalists,269,20,306.71999999999997,-0.19505914991427623,15.335999999999999,0.07434944237918216,0.996
16711,3,Potential Loyalists,354,22,1651.03,-0.03209033597540555,75.04681818181818,0.062146892655367235,0.996
17018,3,Potential Loyalists,285,16,920.1,-0.12069995367693179,57.50625,0.056140350877192984,0.996
17076,3,Potential Loyalists,328,25,841.0799999999999,-0.13027943733579736,33.6432,0.07621951219512195,0.996
17080,3,Potential Loyalists,247,9,285.5,-0.19763162072218723,31.72222222222222,0.03643724696356275,0.996
17526,3,Potential Loyalists,364,23,706.7,-0.14657013607128652,30.72608695652174,0.06318681318681318,0.996
